id,host,start,end,duration,duration.min
266759,acid.ocf.berkeley.edu,2017-08-31T04:37:02Z,2017-08-31T04:39:23Z,2M 21S,2
266809,acid.ocf.berkeley.edu,2017-08-31T16:47:02Z,2017-08-31T16:54:30Z,7M 28S,7
266842,acid.ocf.berkeley.edu,2017-08-31T17:13:02Z,2017-08-31T17:22:46Z,9M 44S,9
266862,acid.ocf.berkeley.edu,2017-08-31T17:36:02Z,2017-08-31T17:40:28Z,4M 26S,4
266881,acid.ocf.berkeley.edu,2017-08-31T17:53:03Z,2017-08-31T17:53:49Z,46S,0
266889,acid.ocf.berkeley.edu,2017-08-31T18:02:02Z,2017-08-31T18:11:41Z,9M 39S,9
266917,acid.ocf.berkeley.edu,2017-08-31T18:14:02Z,2017-08-31T18:22:43Z,8M 41S,8
266933,acid.ocf.berkeley.edu,2017-08-31T18:24:02Z,2017-08-31T18:25:35Z,1M 33S,1
266940,acid.ocf.berkeley.edu,2017-08-31T18:28:02Z,2017-08-31T18:41:11Z,13M 9S,13
266952,acid.ocf.berkeley.edu,2017-08-31T18:42:02Z,2017-08-31T19:10:24Z,28M 22S,28
266987,acid.ocf.berkeley.edu,2017-08-31T19:12:01Z,2017-08-31T20:05:18Z,53M 17S,53
267068,acid.ocf.berkeley.edu,2017-08-31T20:12:02Z,2017-08-31T22:00:28Z,1H 48M 26S,108
267203,acid.ocf.berkeley.edu,2017-08-31T22:06:02Z,2017-08-31T22:42:04Z,36M 2S,36
267270,acid.ocf.berkeley.edu,2017-08-31T23:20:02Z,2017-08-31T23:50:19Z,30M 17S,30
267299,acid.ocf.berkeley.edu,2017-08-31T23:51:02Z,2017-09-01T00:06:03Z,15M 1S,15
267334,acid.ocf.berkeley.edu,2017-09-01T00:15:02Z,2017-09-01T00:22:15Z,7M 13S,7
267364,acid.ocf.berkeley.edu,2017-09-01T00:33:02Z,2017-09-01T01:25:11Z,52M 9S,52
267435,acid.ocf.berkeley.edu,2017-09-01T01:48:02Z,2017-09-01T01:51:00Z,2M 58S,2
267440,acid.ocf.berkeley.edu,2017-09-01T01:55:02Z,2017-09-01T01:58:47Z,3M 45S,3
267447,acid.ocf.berkeley.edu,2017-09-01T02:02:02Z,2017-09-01T02:47:52Z,45M 50S,45
267477,acid.ocf.berkeley.edu,2017-09-01T16:13:03Z,2017-09-01T16:33:45Z,20M 42S,20
267511,acid.ocf.berkeley.edu,2017-09-01T16:52:02Z,2017-09-01T16:53:58Z,1M 56S,1
267523,acid.ocf.berkeley.edu,2017-09-01T17:01:02Z,2017-09-01T17:07:33Z,6M 31S,6
267548,acid.ocf.berkeley.edu,2017-09-01T17:17:02Z,2017-09-01T17:25:11Z,8M 9S,8
267565,acid.ocf.berkeley.edu,2017-09-01T17:29:01Z,2017-09-01T17:29:52Z,51S,0
267571,acid.ocf.berkeley.edu,2017-09-01T17:32:02Z,2017-09-01T17:38:36Z,6M 34S,6
