id,host,user,start,end,last.update,duration,duration.min
264369,hurricane.ocf.berkeley.edu,asai,2017-08-27T12:13:02Z,2017-08-27T12:26:40Z,2017-08-27T12:26:40Z,00:13:38,13.63
264373,eruption.ocf.berkeley.edu,asai,2017-08-27T12:27:02Z,2017-08-27T17:57:51Z,2017-08-27T17:57:51Z,05:30:49,330.82
264393,plague.ocf.berkeley.edu,bchieng,2017-08-27T13:21:03Z,2017-08-27T14:12:33Z,2017-08-27T14:12:33Z,00:51:30,51.5
264400,outbreak.ocf.berkeley.edu,ldw,2017-08-27T13:34:01Z,2017-08-27T15:45:52Z,2017-08-27T15:45:52Z,02:11:51,131.85
264403,madcow.ocf.berkeley.edu,raymondng,2017-08-27T13:42:02Z,2017-08-27T13:54:49Z,2017-08-27T13:54:49Z,00:12:47,12.78
264405,blight.ocf.berkeley.edu,vaibhavj,2017-08-27T13:51:03Z,2017-08-27T14:42:06Z,2017-08-27T14:42:06Z,00:51:03,51.05
264406,surge.ocf.berkeley.edu,kuoh,2017-08-27T13:55:03Z,2017-08-27T14:15:19Z,2017-08-27T14:15:19Z,00:20:16,20.27
264412,cyanide.ocf.berkeley.edu,bchieng,2017-08-27T14:14:02Z,2017-08-27T16:50:41Z,2017-08-27T16:50:41Z,02:36:39,156.65
264420,hurricane.ocf.berkeley.edu,raymondng,2017-08-27T14:57:02Z,2017-08-27T17:59:56Z,2017-08-27T17:59:56Z,03:02:54,182.9
264432,blight.ocf.berkeley.edu,vaibhavj,2017-08-27T15:22:03Z,2017-08-27T15:39:16Z,2017-08-27T15:39:16Z,00:17:13,17.22
264451,venom.ocf.berkeley.edu,ldw,2017-08-27T16:02:02Z,2017-08-27T16:18:43Z,2017-08-27T16:18:43Z,00:16:41,16.68
264455,venom.ocf.berkeley.edu,ldw,2017-08-27T16:37:02Z,2017-08-27T18:28:33Z,2017-08-27T18:28:33Z,01:51:31,111.52
264459,firewhirl.ocf.berkeley.edu,andycui,2017-08-27T16:47:02Z,2017-08-27T21:36:48Z,2017-08-27T21:36:48Z,04:49:46,289.77
264465,blizzard.ocf.berkeley.edu,bchieng,2017-08-27T17:08:03Z,2017-08-27T19:03:37Z,2017-08-27T19:03:37Z,01:55:34,115.57
